Population (Millions of people),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,696.828,712.869,729.169,745.827,762.895,780.242,797.879,815.716,833.73,852.013,870.452,888.942,907.574,926.351,945.262,964.279,983.281,1002.335,1021.435,1040.5,1059.634,1078.971,1098.313,1117.415,1136.265,1154.639,1172.374,1189.692,1206.735,1223.64,1240.614,1257.621,1274.487,1291.132,1307.247,1322.867,1338.636,1354.196,1369.003,1383.112,1396.387,1407.564,1417.173,1428.628,1441.72,1454.607,1467.231,1479.579,1491.671,1503.471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
