"GDP, current prices (Purchasing power parity; billions of international dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,405.313,470.309,516.727,576.102,619.699,672.885,719.222,766.27,869.671,957.523,1048.326,1095.237,1181.613,1267.083,1380.318,1515.996,1660.301,1757.331,1886.983,2082.963,2211.969,2370.881,2499.311,2748.989,3046.562,3391.057,3777.412,4176.972,4388.848,4763.093,5230.651,5618.382,6153.153,6477.517,6781.022,7159.796,7735.002,8276.933,9012.957,9519.036,9087.493,10425.074,11938.765,13342.452,14594.46,15811.016,17150.843,18606.536,20187.956,21910.057
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
